10年間	0000802100-005
factual	0000924204
craftsman	0000692107
antagonistic	0000023107
campaign	0000119100	0000120100	0001228110	0000119103	0000120103
pragmatic	0000897104
chairman	0000649104
charisma	0000137106
anchorwoman	0000843106
anchorman	0000843106
anarchy	0001170107
approach	0000054107	0000167104	0000167205	0000756104	0001231104
attach	0000062100	0000062103
anticipation	0000390107
participation	0000613107
multiracial	0000603109
application	0000942105	0001203104
antisocial	0001043107
satirical	0000614108
association	0000919108	0000920108	0001193105
participant	0000787100	0000787103
allocation	0001004105
astronomical	0000522110
court martial	0000126113
calamity	0000227109
tyrannical	0000940109
applicant	0000122105
particular	0000579110	0000788100	0001050105	0000788103
capital	0000721106
atypical	0001199107
racial	0000235107
traumatic	0000780205
attraction	0000599104	0000683108
vacation	0000528104	0000528204
captain	0000648108
satanic	0000373107
lock away	0000620107
catwalk	0000211110
ransack	0000966108
attack	0000063100	0000063200	0000064100	0000064200	0000097106	0000230104	0000064203	0000064103	0000063103	0000063203
casual	0000578105
actual	0000896104	0001216104
sanctuary	0000148111	0000910105	0001006108
canvass	0001105106
vacant	0000350104
autocrat	0000288106
attract	0000600106
make redundant	0000432108
devastated	0001201107
lend a hand	0000518110
law and order	0000797105
do a deal	0000738107
standards	0000851106
standard	0000228104	0000877104	0001208105
market leader	0000649205
exasperated	0000037105
take sth for granted	0001172106
take it for granted 	0001172106
take for granted	0001172106
half-hearted	0000570106
the go-ahead	0000804108
have a good time	0000816107
give and take	0000181108
rules and regulations	0000111106
guaranteed	0000130108
exhilarated	0000382108
spearhead	0000648107
press ahead	0000199210
alive and well	0000976111
inadequate	0000560100	0000564109	0000560103
separated	0001024109
adequate	0000012100	0000012103
devastate	0000281105
safeguard	0000836106	0000866107
stand in awe of sth	0000948107
stand in awe of 	0000948107
infatuated	0000584107
trade fair	0000387108
fundamentals	0000082104
fundamental	0000473100	0000473103
agitated	0000952105
damage	0000240100	0000241100	0000241103	0000240103
agenda	0000984104
graduate	0000494100	0000494103
holidaymaker	0001158106
draw attention to sth	0000821105
apartheid	0000307106
look ahead	0000389109
take a hold	0000021109
the natural world	0000732209
ashamed	0001047109
hardware	0000363108
invalidate	0000121107	0000313109
tailor-made	0000543107
validate	0000048109	0000188107
tidal wave	0000439106
animated	0000670108
dramatize	0000375105
draw attention to 	0000821105
extraordinary	0000929106	0001050106	0001104106
antiquated	0000762107
disappear	0000300100	0000300103
disparate	0000292106
I dare say	0001099111
trademark	0000673104
make day	0000817106
alarmed	0000022108
man-made	0000057106
attendant	0000918106
draw near	0000167207
adversary	0000355110
saturated	0001234110
straightforward	0000332105	0000530113
wash your hands of sth	0000916106
wash hands of sth	0000916106
wash your hands of 	0000916106
wash hands of 	0000916106
Im afraid	0001047105
afraid	0000022100	0000022104
farmland	0000639106
disparaging	0000592105
damaging	0000509106
hold out against sth	0000945107
what is driving at	0000703208
hold out against 	0000945107
hang around	0001070105
gradual	0001031104
do away with sth	0000002107
do away with 	0000002107
hazardous	0000242104
hazard	0000243107	0001144106
traditionalist	0000193105
administration	0000493104	0000493207	0000694106
traditional	0001161100	0001208104	0001161103
administrator	0000774104
admiration	0000014100	0000014104
adulation	0000834108
disapproval	0000230105
dramatist	0001254111
paranoid	0000022110
awkward	0000347105	0000998206	0001255209
applaud	0000835107
mandatory	0000734105
drama	0000324100	0000815104	0000324103
adapt	0000133105
award	0000072100	0000175106	0000485104	0000072103
data	0000579104
exaggerate	0000375100	0000375103
have your heart set on sth	0000532108
have heart set on sth	0000532108
have your heart set on 	0000532108
have heart set on 	0000532108
real estate	0000639105
exasperate	0000036111
state of the art	0000719107
farmers market	0000700206
take things easy	0000951106
management	0000493204	0000694100	0000694103
arrangement	0000026106	0000278107	0000814104
parentage	0000408313
guarantee	0000357105	0000472107	0000861107	0000862104
average	0000071100	0000745105	0000071103
amphitheatre	0000505108
a question mark over sth	0000321107
rehearsal	0001164104
separate sth out	0000317109
materialize	0000506110
leave its mark	0000021110
a question mark over 	0000321107
take it easy	0000951106
alleviate	0000331105
alternative	0000770105
alienate	0000317205
exasperation	0000468106
repatriate	0000391108
expatriate	0000911106
leave your mark	0000021110
leave mark	0000021110
alternate	0000133209
extrapolate	0000369110
evaluate	0000627105
teammate	0000790112
parameter	0000665206
awareness	0000074100	0000074103
separate out	0000317109
separate	0000317206	0000788105
love affair	0000920206
a way of life	0000661306
as often as not	0001209112
warfare	0001228109
what is getting at	0000703208
language	0000640100	0000640103
exhilarating	0000384108
give sth away	0000955110
manslaughter	0000726109
haulage	0000266110
have a go	0001173109
imaginative	0000224107
earn a living	0001246106
appealing	0000826107
antagonize	0000034106
nauseating	0000311109
agitate	0000120107
give away	0000955110
at large	0000459105
manage	0000007104	0000053104	0000973204
manager	0000695100	0000695103
magnate	0000386107
arrange	0000053100	0000773104	0000053103
passage	0000211107
ravage	0000281106
savage	0000233105
get away	0000365104	0000490105
getaway	0000528206
annihilate	0000281108
exhilaration	0000383107
authoritative	0000924205
arrive at sth	0000007109
immaterial	0000616104
international	0000603100	0000603103
alienation	0000318206
retaliation	0000956105
realization	0000074106
rationalize	0000239108
examination	0000587106	0000943107	0001135205
inappropriate	0001255204
parliament	0000493108
manipulate	0000763107
material	0000363104	0000579108	0000702100	0000923107	0000702103
explanation	0000898104
alternation	0000132109
sensational	0000031110
operational	0000009107
alteration	0000132210
relaxation	0000359106
evaluation	0000059104
mainstream	0001161105
animate	0000028106
approximate	0001210104
traumatize	0000466108
instantaneous	0000553107
pay attention	0000515105
quarantine	0000318107	0000618106
anniversary	0000093104
preparation	0000814105
separation	0000318104
passionate	0000598104
narrative	0001079106
appropriate	0000491204
arrive at 	0000007109
make your mark	0001090105
make mark	0001090105
lawmaker	0000824108
make your way	0000489109
make way	0000489109
take part	0000623106
parallel	0000785100	0001023108	0000785103
saleswoman	0000977100
salesman	0000977100
unpleasant	0000075106	0000704110
explanatory	0000276104
pleasant	0000464105	0000742105
arsenal	0001097111
translate	0001175207
analyse	0000376104
appeal	0000058209	0000126106	0000599105	0000600105	0000942111
apparel	0000161108
as a rule	0001209111
statesman	0000824111
amaze	0001103106
transparent	0000157304
apparent	0000041100	0000157105	0000041103
narrate	0000274112	0000883108
preparatory	0000434111
appear	0000042100	0000055111	0000420106	0000993105	0000042103
taxpayer	0000149105
area	0000049100	0000049200	0000811105	0000049103	0000049203
arrears	0000251106
aware	0000073100	0000073103
affiliation	0000920110
affair	0000112106	0000370104	0000920204
go so far as to	0000243105
unfamiliar with sth	0000740304
familiar with sth	0001205104
shy away from sth	0000520104
unfamiliar with 	0000740304
familiar with 	0001205104
out of harms way	0000976108
shy away from 	0000520104
inflammation	0001174107
informational	0000337106
unfamiliar	0001080205
infatuation	0000683110
fair play	0000629106
fatal	0000415100	0000415103
at fault	0000503106
fantasy	0000531207	0000551105
go against sth	0000190108	0000765109
go against 	0000190108	0000765109
pit sth against sth	0000176110
highwayman	0001140112
laugh at sth	0000645100
hair-raising	0000467114
pit against sth	0000176110
pit sth against 	0000176110
laugh at 	0000645100
plain sailing	0000332111
imagination	0000551100	0000589108	0000551103
imaginary	0000422107
organization	0000339106	0000772100	0000814107	0001112105	0000772103
agitation	0000182110	0001170108
pit against 	0000176110
appalling	0001133305
malignant	0000415106
alarming	0000467107
marginal	0000160109	0001029107
antagonism	0001132106
amazing	0000031100	0000031103
against	0000023100
gallant	0000104106
analogous	0000364107
arrogant	0000868204
go away	0000490100	0000490103
saga	0001079108
throw sth away	0000931109
authorization	0000659108	0000804105
antipathy	0001132108
hallmark	0001019111
pull sth apart	0001126108
hallway	0000211105	0000505207
tantamount to sth	0000361110
throw away	0000931109
multinational	0000603106
nationalism	0000884104
impartial	0000748104
nationality	0000799105
irrational	0000615100	0000615103
rationality	0000672104
maintain	0000151108	0000690100	0000690103
aspiration	0000531205
variation	0000132105	0000291106
partially	0000789105
national	0000149107	0000235104	0000730100	0000870105	0000730103
rational	0000894100	0000894103
valuation	0001212100	0001212103
analysis	0000943104
arrival	0000054100	0000054103
mania	0000749105
non-partisan	0000748107
stationary	0001075105
partisan	0000091105	0000501108
assistant	0000977107
attain	0000007111
await	0000389106
walkway	0000211109
pull apart	0001126108
allay	0000331107
manual	0000101108
amoral	0000212110
alarm	0000418107	0000466106
also-ran	0000679105
natural	0000731100	0000751104	0000731103
analyst	0000032100	0000032103
approval	0000047100	0000834105	0000047104
portrayal	0000275107
lavatory	0001153105
at a loss	0000191105
appal	0001010105
salary	0000563106
assault	0000063107	0000063205	0000064104	0000230109
atlas	0000697105
tantamount to 	0000361110
mantra	0001030106
aroma	0001034105
amass	0000165108
warrant	0000659105
run away	0000436104
array	0000888107
aura	0000061108
come between sb and sb	0000317208
be born and bred	0000108108
come between and sb	0000317208
come between sb and 	0000317208
hold sb back	0000098110
objectionable	0000704108
give sb back sth	0000954205
give sb back 	0000954205
get back to sb	0000040109
set sb back	0000526109
stumble across sb	0000429210
turn your back on sb	0000653408
turn back on sb	0000653408
back sb up	0000188205
be intended as be sth	0000279205
be intended as be 	0000279205
be based	0000081100
abide by sth	0000445308
bear sb in mind	0000930105
bulletin board	0001019209
abide by 	0000445308
absorbed	0000601106
babe	0000245111
unbelievable	0000568104	0000929109
believable	0000829208
make sb better	0000236107
be in awe of sb	0000948107
be in favour of sb	0000575100
improbable	0001195105	0001195208
be in sbs way	0000098204
probable	0000664108
squabble	0000050108	0000051107
rabble	0000231109
bear sb out	0000188207
beat sb up	0000064105
abbey	0000148110
bring sth about	0000129107
absorbing	0000602110
bring about	0000129107
probability	0000828106
burst its banks	0000440106
bail sb out	0000980105
blab	0001127209
probably	0000853100	0000853103
absorb	0000600109	0001204209
baby	0000143106	0000245106
have confidence in sb	0001172110
irreconcilable	0000565108
inconceivable	0000556106
impeccable	0000800104
conceivable	0000829206
accessible	0000157207
come back	0000954104
come across sb	0000429205
cut back on sth	0000239105
cut sth back	0000239105
kickback	0000106106
cut back on 	0000239105
cut back	0000239105
cutback	0000908111
become estranged	0000317207
come between and 	0000317208
celebrated	0000409112
considerable	0000641107
unpredictable	0001104105
predictable	0000838100	0000838103
creditable	0001252109
debacle	0000304107
be located	0000081104
noticeboard	0001019208
disturbance	0001170105
drive sb crazy	0000034107
background	0000198104	0000360106
hold sth back	0000098110	0001101210
hold back	0000098110	0000520106	0001101210
roadblock	0000080106	0000750108
track sb down	0000429406
back down	0000486107
backdrop	0000198105	0000360107
abduct	0000631105
leave sb in the lurch	0000301107
resemblance	0001023104
respectable	0000949100	0000949103
celebrate	0000816104	0000835108
remembrance	0000708108
beneficial	0001211208
benefactor	0001055109
be going places	0000323110
give sb the sack	0000432111
be in charge	0000973207
have sb in stitches	0000644110
inexplicable	0000192107
celebration	0000370204
noticeable	0001221105
subject matter	0000711106
embrace	0000534104	0000562110
absence	0000638104
backfire	0000402208
uncomfortable	0000347104
comfortable	0000168100	0000959109	0000168103
care for sb	0000678105	0000684109
give back sth	0000954205
give sth back	0000954205
give back	0000954205
give back 	0000954205
get back to 	0000040109
get back	0000954106
beach	0000163104
benchmark	0000228107
set sth back	0000526109
stumble across sth	0000429210
chamber	0000505106
search sb out	0000429407
breach	0000105304
incompatible	0000565104
write back	0000040108
problematic	0000998205
unsociable	0001043108
incurable	0000415108
sociable	0001038100	0001038103
calibre	0000877107
transcribe	0001253110
cabinet	0000493106
aerobics	0001057107
backer	0001055107
bracket	0000128107	0000153109
set back	0000526109
uncontrollable	0001184100	0001184103
stumble across 	0000429210
clamber	0000158106
scramble	0000158105
constable	0000822108
placebo	0000329209
obstacle	0000080105	0000750100	0000750103
come about	0000506108
substance	0000554108	0000702104	0000711105
corroborate	0000188109
abscess	0001174111
watch for sb	0000389110
fabric	0001085108
go back on sth	0000105410
backing	0000612107
go back on 	0000105410
go back	0000954105
think back	0000930108
a bit much	0000380108
turn your back on sth	0000653408
turn back on sth	0000653408
put sth back	0000954204
back sth up	0000188205
branch	0000049212	0000271105
chat sb up	0000438103
publication	0000101104
blacklist	0000385209
sit back	0000951107
conurbation	0000150109
basic	0000473106
basics	0000082100	0000082103
back	0001098105
look back	0000930106
black	0000244104	0000737112
turn your back on 	0000653408
turn back on 	0000653408
turn back	0000954107
put back	0000954204
back up	0000188205
backup	0000517109
call sb up	0000117209
combat	0000765106	0001228108
subtract	0000305106
bad	0000075100	0000293205	0000373105	0000509107	0000564104	0000755105	0000825204	0000967107	0001000113	0001017106	0001047106	0001255206	0000075104
bad-tempered	0000617105
absent-minded	0000124106
disabled	0000297100	0000297103
drive sb mad	0000034107
be at odds	0000190106	0000299106
bodyguard	0000500104
bead	0000328104
be under the impression that	0001143109
knowledgeable	0000581105
be estranged	0000317207
well behaved	0000491706
deliberate	0000194111	0000263100	0000263103
be seated	0001025105
get sb ready	0000840107
indispensable	0000366108
deliberation	0000195106
turn a blind eye	0000547106
undesirable	0001200107
desirable	0000089105	0000826105
be situated	0000081105
deplorable	0000776109
belated	0000643106
debate	0000250100	0000308107	0001118107	0000250103
be all for doing sth	0000575107
be all for doing 	0000575107
indistinguishable	0000361109
get around sb	0000808110
a good bet	0000770107
budgetary	0000334107
bear sth in mind	0000930105
have sb in mind	0000597107
hairpin bend	0000209107
uninhabited	0000277107
deal with sb	0000248100	0000738104
hand sb over	0000485205
breadth	0000888207
inaudible	0000881206
bear in mind	0000930105
unbiased	0000748108
biased	0000091100	0000091103
break down	0000105205	0000402206
breakdown	0000403105
allude to sb	0000709108
boulevard	0000965108
banned	0000448104
brand new	0000740204
broaden	0000388107
attend to sb	0000678107
downbeat	0000737111
bystander	0001242107
abode	0000529108
wardrobe	0000161110
stand in for sb	0000934104
stand up for sb	0000396207
birthday	0000093100	0000093103
in sbs day	0000661206
bandit	0001140108
bald	0000812208
band	0000791205
turn sb around	0001175104
stand up to sb	0000765111
boundary	0000665205
not bad	0000012104
brand	0000117110	0000633112
too bad	0001191207
broad	0001237104	0001237205
board	0000170106	0001019204
absurd	0000960105
unforeseeable	0001104108
foreseeable	0000838104
make-believe	0000551106
preferable	0000090105
regrettable	0001191211
the establishment	0000069105
make better	0000236107
member of staff	0001247106
from the bottom of your heart	0000256108
from the bottom of heart	0000256108
insufferable	0001181110
staff member	0001247105
be in awe of sth	0000948107
verifiable	0000924207
feasible	0000829107
be in awe of 	0000948107
make use of sb	0001204108
safe bet	0000770107
take issue with sb	0000299107
be in the way	0000098204
heartbroken	0001192109
has-been	0000679206
whereabouts	0000811112
impressionable	0000727108
inequitable	0001255309
inevitable	0000574100	0000574103
likeable	0000742210
intolerable	0001181106
reliable	0000924100	0000924200	0000924103	0000924203
miserable	0000737110	0001192106
timetable	0000984105
inoperable	0000415109
questionable	0001108205
inexorable	0000574107
enviable	0000826109
equitable	0000899107
liberate	0000922106
sizeable	0000641110
bear witness	0000188105
be in tears	0000234105
enjoyable	0000742106
blameless	0000585106
vulnerable	0001225100	0001225103
preamble	0000608105
assemble	0000110105	0000706107
personable	0000742211
relate to sb	0001185204
reputable	0000949105
exuberant	0000670105
rebate	0000175105
berate	0000985110
be in favour of sth	0000575100
sbs way of life	0000661306
be in favour of 	0000575100
make fun of sb	0000645108
offbeat	0001199109
unforgivable	0000776110
make sth of sb	0001143108
be all for sth	0000575107
justifiable	0000962209
unprofitable	0000681104
profitable	0001091204
beautiful	0000084100	0000084200	0000084204	0000084104
be in favour 	0000575100
look after sb	0000678100	0000678103
make of sb	0001143108
poke fun at sb	0000645109
be all for 	0000575107
human being	0000806107
biographer	0001254108
set sb straight	0000210106
burglarize	0000966110
bearing	0001231310
barge in	0000604110
get in sbs way	0000098204
gamble	0000964204
embargo	0000076106
barge	0000875206
know sth by heart	0000652113
unthinkable	0000556105
break into sth	0000966105
punishable	0000548108
hospitable	0000464110
establish	0000367100	0000429304	0000367103
xenophobia	0000884110
embark upon sth	0000086106
embark on sth	0000086106
take sb up on sth	0001115406
know by heart	0000652113
break sth up	0000317104
honourable	0000949106	0001252108
alert sb to sth	0001127108
the top brass	0000069107
bear sth out	0000188207
set about sth	0000086108
the Bar	0000647108
bathe	0000154110	0001229104
raise sbs spirits	0000351107
implausible	0001195206
irritable	0000617100	0000617103
break into 	0000966105
break-in	0001138107
take sb in	0000140107
plausible	0000829204
liberal	0001154104
obsessional	0000011106
unsuitable	0001255205
suitable	0000491205
viable	0000829104
businesswoman	0000386104
businessman	0000386104
observation	0000587104	0001068108
exorbitant	0000522109
obstinate	0001086104
be in way	0000098204
barrier	0000080100	0000750104	0000080103
barrister	0000647107
arbiter	0000626107
bizarre	0001080109
attribute	0000419107
vibrate	0001002205
abusive	0000755104
bleak	0000737105
workable	0000829108
embark upon 	0000086106
embark on 	0000086106
take sb up on 	0001115406
take sb on	0000176106	0000349110	0001115405
take sb out	0000632109
break up	0000317104
break	0000105100	0000105200	0000105300	0000105400	0000203111	0000528105	0000528205	0000764109	0000795104	0000105403	0000105203	0000105103	0000105303
able	0000491406
label	0000117107
absolutely	0000882206
lovable	0001109106
blame	0000097100	0000416105	0000097103
to blame	0000503105
presumably	0000853104
assembly	0000707108	0000856110
notable	0000555107
unusable	0001207110
labourer	0001247204
alert sb to 	0001127108
absolute	0000179106	0000427109
stable	0000433106	0001071104
usable	0001206107
table	0000667105	0000841308
battle	0000119104	0000176105	0001228104
beam	0001035106
be on your way	0000490108
be on way	0000490108
banter	0000537105
urbane	0001046106
bear out	0000188207
set about 	0000086108
passer-by	0001242106
beat up	0000064105
upbeat	0000769107
bear	0000510108	0001062206
bare	0000350105	0000728104	0000812106	0000812206
barter	0000381107	0000934211
bravery	0000219104
batter	0000083104
battery	0000439207
betray	0000140106	0000955108	0001127204
bureau	0001001106
brave	0000104100	0000104103
base	0000081100	0000103104	0000373108
abuse	0000754106
beat	0000083100	0000257105	0001002108	0001077104	0000083103
baffling	0000192109
warn sb off sth	0000306106
in favour of sb	0000575100
lay sb off	0000432104
warn sb off	0000306106
warn sb off 	0000306106
talk sb out of sth	0000306105
talk sb out of 	0000306105
boastful	0000868212
fabulous	0000496106
go along with sb	0000025106
bang into sth	0000222108
go about sth	0000086109
obligation	0000950106
banking	0000428104
obligatory	0000734107
unambiguous	0000157208
ambiguous	0000716104
bang into 	0000222108
global	0000603104
burglar	0001140104
burglary	0001138105
bang	0000078100	0000078200	0000524105	0000078203	0000078103
go about 	0000086109
brag	0000099106
grab	0001115304
lavish sth upon sb	0000485110
lavish sth on sb	0000485110
inhabit	0000669104
talk sb into sth	0000808108
lavish upon sb	0000485110
lavish on sb	0000485110
abolish	0000002100	0000002103
banish	0000391106
phobia	0000418112
habit	0000504100	0000504103
bathroom	0001153104
abhor	0000510111
brash	0000187105
bash	0000524108
bath	0001229104
liability	0000251105	0000950108
brilliant	0000107104	0000496108	0000596106
ability	0000001100	0001027104	0000001103
ambition	0000531206
ambitious	0000024204
talk sb into 	0000808108
tribunal	0000220104
bail out	0000980105
tribal	0000235108
twist sbs arm	0000844209
obtain	0000482104
brain	0000480106	0000595108	0000712104
vibrant	0000107106	0000232107
bias	0000307105	0000577108	0001130105
basis	0000898106
bait	0000106104
bankroll	0000472111
baulk	0000520108
bank	0000651109	0000980306	0001097109
bankrupt	0000079100	0000079103
ballroom	0000505107
ballot	0000342107	0001105107
syllabus	0000152107
aplomb	0000186106
brutal	0000233104	0000974111
brawl	0000423105	0000424107
slab	0000810108
blast	0000470108
bawl	0001012112
ban	0000076100	0000077100	0000076103	0000077103
buoyant	0001091207
taboo	0000076110	0000448106
